UNK,7.492,7.702,7.9,7.914,
ə́mə,7.391,7.48,7.614,7.654,
naspati,6.893,7.168,7.23,7.281,
háydə́nə,7.557,7.749,7.768,7.831,
mánə,7.185,7.482,7.556,7.615,
mági,6.771,7.783,7.865,7.875,
háynə,7.509,7.737,7.737,7.74,
ə́du,7.447,7.566,7.634,7.641,
ə́múk,7.417,7.806,7.809,7.838,
ŋəsáygi,7.36,7.475,7.506,7.521,
ə́y,7.611,7.74,7.761,7.906,
háydúnə,7.605,7.647,7.701,7.861,
ə́dúnə,7.642,7.756,7.768,7.768,
núpá,7.745,7.92,7.964,7.984,
yamnə,7.66,7.678,7.836,7.841,
ə́sí,7.477,8.033,8.045,8.05,
sum,7.794,7.929,8.04,8.085,
nə́ŋ,7.727,7.753,7.771,7.771,
ə́dum,7.374,7.644,7.67,7.74,
ə́dú,7.359,7.589,7.666,7.729,
háybə,7.261,7.376,7.492,7.506,
háy,7.086,7.195,7.348,7.44,
manə,7.357,7.485,7.493,7.595,
cycle,7.558,7.636,7.683,7.683,
núpí,7.741,7.801,7.81,7.823,
ə́sínə,7.744,7.753,7.787,7.844,
tupi,7.294,7.461,7.551,7.579,
lupá,7.3,7.563,7.567,7.612,
layrik,7.292,7.328,7.593,7.601,
ə́ŋáŋ,7.493,7.506,7.637,7.686,
ə́dúdə,7.691,7.72,7.736,7.747,
magi,7.552,7.695,7.764,7.821,
