UNK,0.013,0.013,0.013,0.013,
ə́mə,0.012,0.012,0.012,0.012,
naspati,0.011,0.011,0.011,0.011,
háydə́nə,0.013,0.013,0.013,0.013,
mánə,0.012,0.012,0.012,0.012,
mági,0.013,0.013,0.013,0.013,
háynə,0.012,0.012,0.012,0.013,
ə́du,0.012,0.012,0.012,0.012,
ə́múk,0.013,0.013,0.013,0.013,
ŋəsáygi,0.012,0.012,0.012,0.012,
ə́y,0.013,0.013,0.013,0.013,
háydúnə,0.013,0.013,0.013,0.013,
ə́dúnə,0.012,0.012,0.012,0.012,
núpá,0.013,0.013,0.013,0.013,
yamnə,0.013,0.013,0.013,0.013,
ə́sí,0.013,0.013,0.013,0.013,
sum,0.013,0.013,0.013,0.013,
nə́ŋ,0.013,0.013,0.013,0.013,
ə́dum,0.012,0.012,0.012,0.012,
ə́dú,0.013,0.013,0.013,0.013,
háybə,0.012,0.012,0.012,0.012,
háy,0.012,0.012,0.012,0.012,
manə,0.012,0.012,0.012,0.012,
cycle,0.012,0.013,0.013,0.013,
núpí,0.012,0.012,0.012,0.012,
ə́sínə,0.013,0.013,0.013,0.013,
tupi,0.012,0.012,0.012,0.012,
lupá,0.012,0.012,0.012,0.012,
layrik,0.012,0.012,0.012,0.012,
ə́ŋáŋ,0.012,0.012,0.012,0.012,
ə́dúdə,0.013,0.013,0.013,0.013,
magi,0.013,0.013,0.013,0.013,
